Distorted part,Dominant Distortion
My life has been filled with constant anxiety due to my past traumas.,Fortune-telling
The way people talk about me makes me feel like they don't care about what happens in my life.,Fortune-telling
"My mind keeps telling me that if I do well at work then everything else will fall into place.  But no matter how hard I try, I still fail.  It feels like nothing I ever do is good enough.",Fortune-telling
My mind always goes straight to worst case scenarios and I cant help but think that everything will end up bad.,Fortune-telling
"I've been trying to make new friends for months now, but every time someone tries to talk to me, I just clam up and don't know what to say. It feels like I'll never find anyone who will accept me for who I am.",Fortune-telling
"When I make mistakes at work, I think everyone hates me and wants me fired. Even though there has never been any evidence to support these feelings, I can't shake them off.",Fortune-telling
"My therapist told me that I need to stop being so hard on myself, but I can't help feeling like everything is my fault and if I were stronger, things would be different.",Fortune-telling
"The more people try to convince me that I am wrong, the more convinced I become that I must be right. It seems like everyone around me wants to argue with me, but I know deep down inside that I am correct.",Emotional Reasoning
Sometimes I think people are out to get me. It feels like everyone around me has some sort of hidden agenda against me.,Emotional Reasoning
"I've been trying to find ways to cope with these feelings for years now, but nothing seems to work. It feels like there's no way out of this dark place.",Emotional Reasoning
"It seems like everyone else has their lives together except for me, which makes me feel even more inadequate than before.",Emotional Reasoning
"I know she loves me very deeply, but every time we argue, I think she hates me. She doesn't mean any harm, but her words hurt me more than anyone else's could.",Emotional Reasoning
"The more people tell me what to do, the less confident I become in making decisions for myself. It feels like everyone else knows better than I do, even when I know deep down inside that I should trust my own instincts.",Emotional Reasoning
The thought of losing control over my life terrifies me.,Emotional Reasoning
The way she talks makes me think she hates me. She never tells me anything nice or compliments me anymore. It must mean something bad has happened between us.,Emotional Reasoning
My boss thinks I'm lazy even though I work hard every day. He never sees me take breaks so he must think I'm slacking off when I'm actually working harder than everyone else.,Emotional Reasoning
"The feeling of guilt overwhelms me every time I do something wrong. It feels like I am constantly living under the shadow of my mistakes. Even small things can trigger this overwhelming sense of guilt, making it difficult for me to move forward and enjoy life.",Emotional Reasoning
The world seems so dark and bleak when you can't find any joy in life anymore.,Emotional Reasoning
"The more people tell me that something is impossible, the more determined I am to prove them wrong.",Emotional Reasoning
"The more I try to control my anxiety, the worse it gets. It feels like there's nothing I can do about it.",Emotional Reasoning
"The world seems to be against me. Everywhere I go, things don't turn out well. It feels like everyone is conspiring against me.",Emotional Reasoning
The thought of going out in public makes me feel anxious and overwhelmed. It's hard to imagine ever being able to go out without feeling nervous or panicked.,Emotional Reasoning
"My friend has been through some really tough times recently, including losing her job and having family issues. She seems to be getting better now, but she still feels guilty for everything that happened. It makes sense why she would feel this way, but I wish she wouldn't blame herself for things beyond her control.",Emotional Reasoning
"My mind has been clouded by these thoughts for so long now, they're almost second nature to me. It feels like every time I try to break free from them, they pull me right back in. They make me doubt myself constantly, making me think that I'm unworthy or incapable of achieving anything great. These thoughts have consumed me, leaving me feeling trapped and helpless.",Mental filter
"My mind always goes back to past mistakes and failures, and I constantly compare myself to others who seem to be doing better than me. This leads to feelings of worthlessness and self-doubt, which makes it difficult for me to focus on anything else.",Mental filter
"I know what you are saying makes sense, but I can’t help but feel like there must be something else going on here.",Mental filter
"The world seems to be against me, everything always goes wrong for me, no matter how hard I try, nothing ever works out in my favor.",Mental filter
I can never seem to find happiness in any situation because everything seems so negative and dark. It feels like there's nothing good left in this world for me anymore.,Mental filter
"I am so tired of being misunderstood by everyone around me. It feels like nobody understands what I'm going through, even though I try to explain myself over and over again.",Mental filter
"The way people talk about their past experiences makes them seem so much more interesting than mine. It feels like everyone has done something amazing while I just sit here doing nothing. This leads me to believe that there must be something wrong with me, since I don't have these exciting stories to tell.",Mental filter
"When I am around people who seem happy, I tend to feel sadder than before because I compare myself to them and feel that I'll never be able to achieve their happiness.",Mental filter
"When someone tells me something that doesn't align with how I want to perceive reality, I immediately shut down and refuse to listen any further because I can't handle hearing about their problems or issues.",Mental filter
"I don't know if this is true or not, but I feel like people are always judging me based on what I wear, how I act, and who I am friends with. It makes me very self-conscious and insecure about myself.",Mental filter
"I know what you're saying isn't true, but I just keep hearing these negative thoughts over and over again. Every day, I wake up feeling anxious and worried about something bad happening. Even if someone tells me everything will turn out fine, I still have trouble believing them.",Mental filter
"The world seems so dark and bleak nowadays. Everything feels like it's going wrong. Everywhere you look there's something bad happening. There's always someone dying somewhere, or getting hurt, or losing their job. And then there's global warming, pollution, deforestation...it's hard to stay positive about anything anymore.",Mental filter
"I have been struggling with depression for years now. It feels like no matter what I do or how hard I try, nothing ever seems to change. I can't help but feel like I'll never be happy again.",Mental filter
"My mind is constantly racing, thinking about everything negative. I can't stop these thoughts. They are consuming me. I try to focus on positive things, but they just won't go away. I need help.",Mental filter
"I can't believe what happened today! My friend told me something so terrible about someone we both knew, and now I just want to scream and shout at him for telling me such awful news. But instead, I try to hold back my emotions and pretend like nothing happened.",Mental filter
My mind constantly filters out any positive information and focuses on negative aspects of myself and others around me.,Mental filter
My therapist told me that I need to stop thinking like this. But I think that I should just give up now. My life has been nothing but misery after all. I'm tired of trying to make things work.,Mental filter
"The reason why I am so angry at you right now is because I believe that you were trying to manipulate me into doing something I did not want to do. It feels like you were using your power over me to make me do what you wanted, even though I was completely opposed to it.",Mental filter
The way people talk about their past relationships always seems to make me feel like I'll never find someone who loves me unconditionally because no one has ever loved me that much before.,Mental filter
"He feels like his life has been ruined by this one event, even though it was years ago. It's hard for him to move on because every little thing reminds him of that moment.",Mental filter
"Its like when youre trying to make sense out of chaos, but instead of finding order, you find yourself lost in confusion.",Mental filter
"I always seem to be stuck in these moments when everything around me seems to be moving faster than I can keep up with, and all I want to do is slow down time just enough to catch my breath",Mental filter
"I've been trying to lose weight, but every time I look in the mirror, I see myself getting fatter instead of thinner. It feels like nothing works, so why even try?",Mental filter
"He has been acting strangely lately, almost like he's in his own world. It makes me wonder if there's some sort of mental illness going on.",Mental filter
"The world seems like such a dark place right now, and every time something bad happens in the news, I find myself getting more and more anxious about the future. It feels like there are no good days ahead for anyone anymore.",Mental filter
The way people talk about their past relationships make me feel like I'll never find someone who loves me for who I truly am. It feels like no one wants to be around me unless there's something in it for them.,Mental filter
"The world seems to be against me. Every time something good happens, something bad follows right after. It's like the universe wants me to fail.",Mental filter
"I'm so tired of being judged by everyone around me. It feels like there's always someone watching me, waiting for me to make a mistake. No matter what I do, I can't seem to please anyone. Even if I try to be myself, I end up getting criticized for it. Sometimes, I wish I could just disappear and start fresh somewhere else, without any expectations or judgments hanging over me.",Mental filter
The world seems like such a dark place when you can't see the light at the end of the tunnel.,Should statements
"The world seems to be against me, and every time something goes wrong or doesn't go according to plan, I think about how much better life could be if I had just made different choices earlier in my life. It feels like there's no hope for improvement because I keep making mistakes and messing up opportunities. But then again, maybe I'm just being too hard on myself and expecting perfection when nobody is perfect.",Should statements
"My parents always tell me that I am very lucky for having such good opportunities and being able to go to college, but sometimes I can't help feeling like I'm missing out on something important. It feels like everyone else around me is experiencing more exciting adventures than I am, which leads me to constantly compare myself to them and wonder why I never seem to measure up.",Should statements
"I can't do this anymore. It feels so overwhelming, but at the same time, I feel like I should be able to handle it all.",Should statements
"I've had panic attacks since I was young, and they still happen today. It's frustrating because I know there's nothing to worry about, yet I can't seem to control my thoughts when one starts. I try to focus on something else, but my mind keeps coming back to the panic attack.",Should statements
"My therapist told me that I need to stop being negative all the time, but sometimes things really do suck and I can't help but see them in a bad light. It feels like she wants me to pretend everything is fine when it isn't.",Should statements
"I've been feeling really down lately because I can't seem to find any motivation to get out of bed in the morning. It feels like no matter how hard I try, I just can't shake off these feelings of sadness and hopelessness. But then again, maybe I'm just being too negative about myself and my situation. Maybe I'm just making excuses for why I can't get out of bed.",Should statements
"Sometimes when I am around certain people or in specific situations, I feel like I can’t control my thoughts and actions, which leads to feelings of guilt and shame afterwards.",Should statements
"I always assume people are judging me negatively, which makes me anxious around them. It's hard for me to trust anyone because I believe they will eventually hurt me.",Should statements
I always compare myself to other people who seem happier than me. It makes me feel like something is wrong with me. I try to avoid social situations where I might see them again.,Should statements
"The world seems to be against me all the time, no matter what I do or say. It feels like everyone hates me for some reason, and they always seem to find ways to make sure I feel bad about myself.",Should statements
"My therapist told me that I am depressed because I think too much about negative thoughts, but when I try to stop thinking those thoughts, I get even more anxious and worried. It feels like there's no escape from these feelings.",Should statements
I've never had a real job before so I don't understand why everyone else seems to handle their responsibilities better than I can. It feels like they're judging me because I struggle with simple tasks at times.,Should statements
"My life has been filled with constant anxiety about everything. It feels like there's never enough time to get everything done, and when I finally finish something, another task appears. This makes me feel overwhelmed and stressed, which leads to further anxiety. I know that I should prioritize tasks and take breaks, but it seems impossible to implement those strategies into my daily routine.",Should statements
"I always assume the worst in every situation, no matter how small or big it may be. It makes me anxious all the time, but I can't seem to stop thinking this way.",Should statements
"I’ve been feeling very down lately and I think it might be due to the fact that I compare myself too much to others. It feels like everyone else has their life together while mine is falling apart. But in reality, no one knows what goes on behind closed doors, and we all struggle with our own battles.",Should statements
i don't want to be seen as weak or vulnerable so i try to hide my emotions even when they are overwhelming me. this makes me feel like i am lying to people around me because i can't express how i truly feel.,Should statements
"The world seems like such a dark place right now, and every day feels like a struggle. It’s hard for me to see anything positive in life, even though there are people who care about me deeply. My mental filters make everything seem negative, and I find it difficult to break free from these thoughts.",Should statements
"I always assume people are judging me negatively, even if they aren't. It makes me really anxious in social situations.",Should statements
"My friends always say they love me, but I feel like they only care when they need something or if I can make them laugh. They never really listen to what I'm saying.",Should statements
"It seems like everyone else has their life together except for me. It feels like no matter how hard I try, I always end up messing everything up. But then again, I never take responsibility for my actions or mistakes, which makes me feel worse.",Should statements
"I know that I can't trust anyone, especially people who seem nice at first. It's just human nature for them to betray you eventually.",Should statements
"i don't think im crazy or anything like that, its just that sometimes when people tell me what they want me to do, i can't help but hear them saying something completely different than what they actually mean.

[INST] Please provide a brief explanation of each sentence. [/INST]

1. This individual believes that their thoughts about someone being a predator are valid, but they struggle with sharing those thoughts publicly due to potential consequences. They acknowledge the importance of forgiveness but also express a desire to stand up against perceived wrongdoings.
2. The speaker acknowledges feeling happiness overall but struggles with managing their emotions, particularly in response to minor events.
3. Despite recognizing areas where improvement could occur, the speaker feels stuck in their current situation and fears they may never achieve desired levels of success or fulfillment.
4. The speaker admits to experiencing difficulty interpreting others' intentions accurately, leading to confusion and misunderstandings in communication.",Should statements
"My mind is always racing, thinking about everything under the sun, and never able to focus on anything for more than five minutes. It's exhausting trying to keep up with my own thoughts.",Should statements
I feel like I'm always being judged by everyone around me. It makes me want to hide away in my room forever.,Should statements
"When people say they love me, I don't believe them because I think everyone lies about their feelings.",Should statements
"The worst part is that I always think that people don't like me. It makes me really sad and anxious. Even though there's no real reason for me to believe that, I can't shake off those thoughts.",Should statements
