Distorted part,Dominant Distortion
 Every little mistake feels like it defines who I am and ruins my life forever.,Magnification
" When someone doesn't reply to my message immediately, I assume that means they don't care about our friendship anymore.",Magnification
" If this one small thing goes wrong today, everything else will fall apart too.",Magnification
" Whenever something good happens, I worry that there must be a catch somewhere hidden around the corner.",Magnification
" Even if just one tiny detail isn't perfect, I feel like the entire project has failed miserably.",Magnification
 A minor setback seems like insurmountable obstacle that cannot be overcome.,Magnification
 It's impossible for me to enjoy any moment when I know there are so many things that could go wrong at any time.,Magnification
 Any perceived slight or criticism feels like a direct attack on my very existence.,Magnification
" When people say nothing during a silence, I imagine them plotting against me behind closed doors.",Magnification
 Overthinking every decision makes even simple tasks seem overwhelmingly complex.,Magnification
" One<|im_start|>: In your opinion, what is the most significant impact of social media on mental health?",Magnification
" Social media has made it nearly impossible for us to escape constant comparison and self-criticism, which leads to increased anxiety and depression among users.",Magnification
 Losing track of time while engrossed in work can make even a short break feel like an eternity before getting back to productivity.,Magnification
 Experiencing rejection once leaves you feeling like you'll never find love again.,Magnification
 Feeling overwhelmed by daily responsibilities can lead to catastrophic thinking patterns where even small problems become unmanageable burdens.,Magnification
" Being unable to complete a task perfectly often results in feelings of worthlessness and failure, despite other accomplishments.",Magnification
" Failing to meet expectations, no matter how high or low, can result in intense emotional turmoil and self-blame.",Magnification
" Not being able to control external factors can cause immense stress and fear, making everyday challenges feel insurmountable.",Magnification
" Focusing solely on negative aspects of situations can create a sense of impending doom, causing individuals to miss out on potential positive experiences.",Magnification
" Dwelling on past mistakes can make present opportunities appear bleak and hopeless, leading to further despair and isolation.",Magnification
 Allowing yourself to get caught up in worst-case scenarios can blind you to the reality that most outcomes aren’t actually disastrous.,Magnification
 Believing that others judge harshly can make even mundane interactions feel like a high-stakes performance review.,Magnification
" Getting stuck in traffic for 10 minutes might feel like hours wasted, amplifying frustration levels exponentially.",Magnification
" Forgetting a loved one's birthday may feel like a monumental act of neglect, overshadowing all other achievements.",Magnification
" Misspelling a word in a text message can send you into a spiral of shame and embarrassment, convinced that everyone now thinks less of you.",Magnification
" Seeing a friend hang out with someone else without inviting you along can leave you feeling excluded and ostracized, as though their actions define your value as a person.",Magnification
" Receiving constructive feedback can feel like a personal attack, leaving you questioning your abilities and doubting your future successes.",Magnification
" Misplacing keys for five seconds can feel like losing them permanently, sending panic surging through your body.",Magnification
 A single raindrop falling on your head can feel like a torrential downpour drenching you entirely.,Magnification
 An unexpected bill arriving in the mail can feel like financial ruin looming over your horizon.,Magnification
" A missed opportunity can feel like a lifetime lost, casting doubt upon your ability to ever achieve similar successes.",Magnification
" A seemingly harmless comment from a stranger can feel like a direct assault on your character, leaving you consumed by paranoia and defensiveness.",Magnification
" A small scratch on a brand-new car can feel like irreparable damage, marring its pristine appearance beyond repair.",Magnification
 A single<|im_start|> : What is the difference between imposter syndrome and perfectionism?,Magnification
"]
 Perfectionists believe that anything less than flawless is unacceptable, whereas those suffering from impostor syndrome secretly fear that they lack the skills and qualifications necessary to succeed.",Magnification
"]
 A small stain on a white shirt can feel like a massive blemish that nobody would want to see.",Magnification
"]
]",Magnification
"]
A single<|im_start|>: How can we help someone who struggles with these types of thoughts and beliefs?",Magnification
"T]
]",Magnification
"T]
]
Even a fleeting thought about doing something enjoyable can feel like a daunting commitment that will consume your life forevermore.",Magnification
"T]
The smallest mistake in a presentation can feel like a career-ending disaster, regardless of the overall quality of the content.",Magnification
"T]
T]
Every minor setback seems like an insurmountable obstacle, making progress feel almost impossible.",Magnification
"T]
T]
T]",Magnification
"T]
T]
T]",Magnification
 You are such a loser; you never do anything right!,Labeling
 She is just a manipulative bitch who uses people for her own gain.,Labeling
 He is nothing but a lazy good-for-nothing who will never amount to anything.,Labeling
 They are all selfish jerks who care about themselves more than others.,Labeling
 People like that should be avoided at all costs – they bring nothing positive into your life.,Labeling
 Those who don't share my beliefs are simply misguided individuals who lack understanding.,Labeling
 Anyone who disagrees with me must have ulterior motives and hidden agendas.,Labeling
 All those who fail to meet my expectations are unworthy of my time and effort.,Labeling
" In this world full of deceitful liars, it's hard to find someone genuine and honest.",Labeling
" It seems like everyone around me is out to get what they want at any cost, even if it means stepping on others.",Labeling
 Some people are so self-absorbed that they cannot see beyond their own needs and desires.,Labeling
 Individuals who refuse to learn from past mistakes are destined to repeat them over and over again.,Labeling
 People who constantly blame others for their problems are unable to take responsibility for their actions.,Labeling
 Those who hold onto grudges are incapable of forgiving and moving forward in life.,Labeling
 People who judge others based solely on appearances are superficial and shallow.,Labeling
 Individuals who consistently make excuses for their poor behavior are unwilling to change and improve.,Labeling
 People who believe that success comes easily without putting in the necessary work are delusional and naive.,Labeling
 Those who think negatively about everything are pessimists and may struggle to find happiness in life.,Labeling
 People who avoid taking risks due to fear of failure are cowards and unlikely to achieve greatness.,Labeling
 Individuals who focus too much on material possessions are greedy and insatiable in their pursuit of wealth.,Labeling
 People who prioritize short-term pleasure over long-term wellbeing are hedonistic and irresponsible.,Labeling
 Any individual who refuses to accept constructive criticism is closed-minded and stagnates in personal growth.,Labeling
 People who cling to old habits and resist change are stuck in their ways and unable to adapt to modern times.,Labeling
 Individuals who rely heavily on external validation to feel worthy are desperate for love and acceptance.,Labeling
 People who use sarcasm excessively often reveal underlying bitterness and cynicism within themselves.,Labeling
